"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 11 20:25:04 GMT 2023","Tue Apr 11 20:25:11 GMT 2023","6668","vizsgaremek.test","test_conduit","TestConduit","","","Adatok listázása",""
"passed","Tue Apr 11 20:22:06 GMT 2023","Tue Apr 11 20:22:18 GMT 2023","12466","vizsgaremek.test","test_conduit","TestConduit","","","Kijelentkezés - Helyes adatokkal",""
"passed","Tue Apr 11 20:22:38 GMT 2023","Tue Apr 11 20:23:44 GMT 2023","65242","vizsgaremek.test","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból - Helyes adatokkal",""
"passed","Tue Apr 11 20:21:53 GMT 2023","Tue Apr 11 20:21:53 GMT 2023","65","vizsgaremek.test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"passed","Tue Apr 11 20:23:45 GMT 2023","Tue Apr 11 20:24:03 GMT 2023","17726","vizsgaremek.test","test_conduit","TestConduit","","","Meglévő adat módosítás",""
"passed","Tue Apr 11 20:22:19 GMT 2023","Tue Apr 11 20:22:37 GMT 2023","17979","vizsgaremek.test","test_conduit","TestConduit","","","Új adat bevitel - Helyes adatokkal",""
"passed","Tue Apr 11 20:21:52 GMT 2023","Tue Apr 11 20:21:52 GMT 2023","69","vizsgaremek.test","test_conduit","TestConduit","","","Oldal megnyitása",""
"passed","Tue Apr 11 20:21:54 GMT 2023","Tue Apr 11 20:21:58 GMT 2023","3467","vizsgaremek.test","test_conduit","TestConduit","","","Regisztráció - Helyes adatokkal",""
"passed","Tue Apr 11 20:21:59 GMT 2023","Tue Apr 11 20:22:04 GMT 2023","5417","vizsgaremek.test","test_conduit","TestConduit","","","Bejelentkezés - Helyes adatokkal",""
"passed","Tue Apr 11 20:24:04 GMT 2023","Tue Apr 11 20:24:24 GMT 2023","19931","vizsgaremek.test","test_conduit","TestConduit","","","Adat vagy adatok törlése",""
"passed","Tue Apr 11 20:24:25 GMT 2023","Tue Apr 11 20:25:03 GMT 2023","37583","vizsgaremek.test","test_conduit","TestConduit","","","Adatok lementése felületről",""
